offer_id,image_url,shop_name,min_price,review_count,review_average,score,updated_at
air_circulator_research,https://thumbnail.image.rakuten.co.jp/@0_mall/kadenrand/cabinet/11075038/12918368/imgrc0105977587.jpg?_ex=128x128,DENDEN,2981,2571,4.4,100,2026-06-30
cooling_bedding_research,https://thumbnail.image.rakuten.co.jp/@0_mall/aizu-corp/cabinet/26shingu/9817340_2026rank.jpg?_ex=128x128,アイズインテリアショップ,1390,4493,4.21,93,2026-06-30
portable_fan_research,https://thumbnail.image.rakuten.co.jp/@0_mall/premium-interior/cabinet/item/fan/lff-lafuture30_tum05.jpg?_ex=128x128,LFF PREMIUM,1980,4796,4.38,100,2026-06-30
usb_c_cable_research,https://thumbnail.image.rakuten.co.jp/@0_mall/cigar-shop/cabinet/10735994/11293345/29.jpg?_ex=128x128,TSUDOI 楽天市場店,150,9338,4.57,100,2026-06-30
usb_c_charger_multi_research,https://thumbnail.image.rakuten.co.jp/@0_mall/sunivision/cabinet/2026/imgrc0111968871.jpg?_ex=128x128,MSL FORCE公式楽天市場店,1000,615,4.61,100,2026-06-30
usb_c_charger_small_research,https://thumbnail.image.rakuten.co.jp/@0_mall/case-by-case/cabinet/08655288/10418282/12211884/imgrc0094269156.jpg?_ex=128x128,ケースbyケース,1090,7768,4.6,100,2026-06-30
mobile_battery_cable_built_in_research,https://thumbnail.image.rakuten.co.jp/@0_mall/corsage/cabinet/03257720/oshamoba/co_5000mini01.jpg?_ex=128x128,La Chou Chou,1280,7068,4.21,100,2026-06-30
mobile_battery_high_output_research,https://thumbnail.image.rakuten.co.jp/@0_mall/itoplus/cabinet/10002/10002-140_01.jpg?_ex=128x128,未来プラスショップ,1780,134,4.07,100,2026-06-30
mobile_battery_light_research,https://thumbnail.image.rakuten.co.jp/@0_mall/shimachan-store/cabinet/shimc168/first.jpg?_ex=128x128,島ちゃんストア 楽天市場店,980,10132,4.38,100,2026-06-30
protein_research,https://thumbnail.image.rakuten.co.jp/@0_mall/toyomarket/cabinet/campaign/nail/dp.jpg?_ex=128x128,VITAS 楽天市場店,5480,4777,4.78,100,2026-06-30
resistance_band_research,https://thumbnail.image.rakuten.co.jp/@0_mall/tkms/cabinet/12855415/12862747/imgrc0099549857.jpg?_ex=128x128,STEADY(ステディ),3490,2042,4.69,100,2026-06-30
training_mat_research,https://thumbnail.image.rakuten.co.jp/@0_mall/yiprefer/cabinet/tra/tra-003-renew_001.jpg?_ex=128x128,NeverChange楽天市場店,1650,10715,4.45,100,2026-06-30
mens_facewash_research,https://thumbnail.image.rakuten.co.jp/@0_mall/attenir/cabinet/thum/thum/159095_2402.jpg?_ex=128x128,アテニア公式ショップ 楽天市場店,1980,3531,4.72,100,2026-06-30
mens_moisturizer_research,https://thumbnail.image.rakuten.co.jp/@0_mall/renngekesyousui/cabinet/eg/thumb/renge_thumb1.jpg?_ex=128x128,れんげ研究所,1200,8893,4.74,100,2026-06-30
mens_sunscreen_research,https://thumbnail.image.rakuten.co.jp/@0_mall/larocheposay/cabinet/products/main/10419231/imgrc0137248590.jpg?_ex=128x128,ラ ロッシュ ポゼ 公式ショップ,3960,11257,4.69,100,2026-06-30
neck_cooler_research,https://thumbnail.image.rakuten.co.jp/@0_mall/cicibella-sports/cabinet/blq2024/new-old/top1.jpg?_ex=128x128,cicibella sports,398,5657,4.23,100,2026-06-30
sunshade_curtain_research,https://thumbnail.image.rakuten.co.jp/@0_mall/belltree/cabinet/08974827/film/kiyo-grs021_01.jpg?_ex=128x128,ベルツリー楽天市場店,980,1435,4.16,100,2026-06-30
charging_station_research,https://thumbnail.image.rakuten.co.jp/@0_mall/aidort/cabinet/450-499/477-zhu.jpg?_ex=128x128,愛度楽天市場店,1298,1531,4.46,100,2026-06-30
wireless_charger_research,https://thumbnail.image.rakuten.co.jp/@0_mall/3sense/cabinet/07835364/08407085/09242940/s0004.jpg?_ex=128x128,3SENSE/スリーセンス,990,4023,4.38,100,2026-06-30
